sku,product_name,category,subcategory,brand,price,cost,weight_lbs,length_in,width_in,height_in,shipping_class,stock_quantity,is_active
F-HGE-00070,TrailForge Classic Multi-Station Home Gym LT 10,Fitness,Home Gym Equipment,TrailForge,1439.99,799.67,298.15,78.71,65.13,72.18,OVERSIZED,20,TRUE
F-HGE-00071,Velocity Gear Essential Cable Pulley Station NX 11,Fitness,Home Gym Equipment,Velocity Gear,650.99,403.55,213.48,45.25,36.12,83.88,OVERSIZED,20,TRUE
F-HGE-00072,ForgeLine Active Adjustable Bench GT 12,Fitness,Home Gym Equipment,ForgeLine,277.99,174.46,95.75,57.71,24.95,22.00,LARGE,100,TRUE
F-HGE-00073,Velocity Gear Performance Cable Pulley Station LT 13,Fitness,Home Gym Equipment,Velocity Gear,814.99,503.67,118.55,44.96,44.19,75.56,OVERSIZED,20,TRUE
F-HGE-00074,CoreEdge Elite Cable Pulley Station Edge 14,Fitness,Home Gym Equipment,CoreEdge,1104.99,626.64,97.70,51.64,36.69,84.29,OVERSIZED,20,TRUE
F-HGE-00075,StrikeZone Athletics Elite Cable Pulley Station Max 15,Fitness,Home Gym Equipment,StrikeZone Athletics,560.99,272.56,146.08,47.25,41.30,87.35,OVERSIZED,20,TRUE
F-HGE-00076,CoreEdge Competition Cable Pulley Station GT 16,Fitness,Home Gym Equipment,CoreEdge,1206.51,684.52,167.54,50.16,42.29,75.23,OVERSIZED,20,TRUE
F-HGE-00077,Altitude Works Active Cable Pulley Station Edge 17,Fitness,Home Gym Equipment,Altitude Works,470.99,230.70,145.32,42.41,38.96,73.76,OVERSIZED,20,TRUE
F-HGE-00078,Redwood Sporting Performance Cable Pulley Station S 18,Fitness,Home Gym Equipment,Redwood Sporting,1275.99,751.94,125.35,53.26,36.13,87.33,OVERSIZED,20,TRUE
F-HGE-00079,Apex Athletics Trail Cable Pulley Station S 19,Fitness,Home Gym Equipment,Apex Athletics,505.99,263.88,127.35,43.38,38.93,89.62,OVERSIZED,20,TRUE
F-HGE-00080,IronPeak Fitness Elite Functional Trainer NX 20,Fitness,Home Gym Equipment,IronPeak Fitness,3047.99,1718.61,569.02,60.06,47.15,77.18,OVERSIZED,20,TRUE
F-FA-00081,Redwood Sporting Precision Gym Towel XR,Fitness,Fitness Accessories,Redwood Sporting,14.99,7.24,0.24,10.71,7.31,2.14,STANDARD,1000,TRUE
F-FA-00082,IronPeak Fitness Precision Gym Towel GT,Fitness,Fitness Accessories,IronPeak Fitness,11.37,8.14,0.88,10.16,8.88,1.87,STANDARD,1000,TRUE
F-FA-00083,Velocity Gear Essential Gym Towel X1,Fitness,Fitness Accessories,Velocity Gear,21.99,10.88,0.79,9.59,8.31,2.17,STANDARD,1000,TRUE
F-FA-00084,FieldCraft Core Workout Gloves NX,Fitness,Fitness Accessories,FieldCraft,31.99,17.80,0.72,10.26,6.69,1.83,STANDARD,1000,TRUE
F-FA-00085,CoreEdge Elite Jump Rope X1,Fitness,Fitness Accessories,CoreEdge,17.99,9.33,1.36,8.63,6.32,2.10,STANDARD,1000,TRUE
F-FA-00086,Redwood Sporting Performance Jump Rope Max,Fitness,Fitness Accessories,Redwood Sporting,37.99,22.88,0.38,9.05,6.46,1.77,STANDARD,1000,TRUE
F-FA-00087,FieldCraft Premier Workout Gloves LT,Fitness,Fitness Accessories,FieldCraft,19.99,13.59,0.85,10.05,5.59,2.15,STANDARD,1000,TRUE
F-FA-00088,ForgeLine Classic Resistance Band Set GT,Fitness,Fitness Accessories,ForgeLine,16.35,10.33,1.28,10.35,7.83,2.93,STANDARD,1000,TRUE
F-FA-00089,TrailForge Active Jump Rope XR,Fitness,Fitness Accessories,TrailForge,22.79,15.87,1.20,10.06,5.55,2.14,STANDARD,1000,TRUE
F-FA-00090,EverPeak Active Fitness Step Platform XR,Fitness,Fitness Accessories,EverPeak,138.99,97.32,14.09,31.39,13.17,7.43,STANDARD,1000,TRUE
F-FA-00091,Summit Sports Elite Resistance Band Set X2 11,Fitness,Fitness Accessories,Summit Sports,31.70,17.41,1.67,9.87,8.81,3.31,STANDARD,1000,TRUE
F-FA-00092,Altitude Works Classic Fitness Step Platform Edge 12,Fitness,Fitness Accessories,Altitude Works,78.99,38.24,12.78,28.58,14.31,7.42,STANDARD,1000,TRUE
F-FA-00093,ForgeLine Core Resistance Band Set Pro 13,Fitness,Fitness Accessories,ForgeLine,16.99,11.30,1.07,9.26,8.39,3.14,STANDARD,1000,TRUE
F-FA-00094,Velocity Gear Endurance Fitness Step Platform X1 14,Fitness,Fitness Accessories,Velocity Gear,78.99,53.28,16.53,34.44,12.35,8.54,STANDARD,1000,TRUE
F-FA-00095,Northstar Outdoor Endurance Workout Gloves X2 15,Fitness,Fitness Accessories,Northstar Outdoor,37.99,26.11,0.54,10.56,5.50,2.06,STANDARD,1000,TRUE
F-FA-00096,ForgeLine Endurance Jump Rope X2 16,Fitness,Fitness Accessories,ForgeLine,17.99,10.97,0.96,8.86,5.36,1.85,STANDARD,1000,TRUE
F-FA-00097,CoreEdge Core Fitness Step Platform Max 17,Fitness,Fitness Accessories,CoreEdge,116.45,58.13,11.18,28.85,13.46,8.41,STANDARD,1000,TRUE
F-FA-00098,FieldCraft Elite Workout Gloves Edge 18,Fitness,Fitness Accessories,FieldCraft,37.53,20.41,0.93,9.55,5.61,2.04,STANDARD,1000,TRUE
F-FA-00099,StrikeZone Athletics Pro Resistance Band Set Pro 19,Fitness,Fitness Accessories,StrikeZone Athletics,39.40,21.44,2.72,11.07,8.54,3.11,STANDARD,1000,TRUE
F-FA-00100,Pulse Athletics Competition Gym Towel Edge 20,Fitness,Fitness Accessories,Pulse Athletics,13.99,6.78,0.64,10.97,8.11,2.23,STANDARD,1000,TRUE
TS-B-00101,Summit Sports Classic Indoor Outdoor Basketball Max,Team Sports,Basketball,Summit Sports,67.99,46.39,1.55,10.41,10.10,9.19,STANDARD,1000,TRUE
TS-B-00102,Apex Athletics Endurance Indoor Outdoor Basketball X1,Team Sports,Basketball,Apex Athletics,49.99,29.87,1.55,9.11,9.05,9.05,STANDARD,1000,TRUE
TS-B-00103,Redwood Sporting Endurance Indoor Outdoor Basketball GT,Team Sports,Basketball,Redwood Sporting,42.99,22.83,1.26,10.20,10.71,10.40,STANDARD,1000,TRUE
TS-B-00104,FieldCraft Elite Basketball Training Cone Set XR,Team Sports,Basketball,FieldCraft,18.99,11.66,4.85,12.36,10.07,7.16,STANDARD,1000,TRUE
TS-B-00105,Summit Sports Performance Indoor Outdoor Basketball X1,Team Sports,Basketball,Summit Sports,63.99,34.96,1.21,10.99,10.19,10.96,STANDARD,1000,TRUE
TS-B-00106,Summit Sports Precision Basketball Carry Bag NX,Team Sports,Basketball,Summit Sports,33.80,20.22,0.64,19.00,11.73,3.98,STANDARD,1000,TRUE
TS-B-00107,IronPeak Fitness Performance Portable Basketball Hoop X2,Team Sports,Basketball,IronPeak Fitness,508.99,328.14,135.22,55.11,33.28,9.15,LARGE,100,TRUE
TS-B-00108,IronPeak Fitness Trail Portable Basketball Hoop Edge,Team Sports,Basketball,IronPeak Fitness,392.99,191.17,103.07,55.48,37.51,10.79,LARGE,100,TRUE
TS-B-00109,Altitude Works Active Basketball Training Cone Set Pro 9,Team Sports,Basketball,Altitude Works,33.99,21.01,4.83,12.25,9.97,8.87,STANDARD,1000,TRUE
TS-B-00110,TrailForge Essential Basketball Training Cone Set LT 10,Team Sports,Basketball,TrailForge,32.99,17.04,1.96,12.83,8.85,7.65,STANDARD,1000,TRUE
TS-B-00111,Summit Sports Precision Portable Basketball Hoop X1 11,Team Sports,Basketball,Summit Sports,427.99,246.06,97.69,59.95,31.89,9.38,LARGE,100,TRUE
TS-B-00112,Altitude Works Performance Indoor Outdoor Basketball XR 12,Team Sports,Basketball,Altitude Works,30.99,19.53,1.25,11.17,9.10,9.02,STANDARD,1000,TRUE
TS-B-00113,TrailForge Essential Portable Basketball Hoop Edge 13,Team Sports,Basketball,TrailForge,585.99,354.05,107.39,50.05,38.37,9.71,LARGE,100,TRUE
TS-B-00114,Pulse Athletics Trail Basketball Carry Bag XR 14,Team Sports,Basketball,Pulse Athletics,51.99,35.08,0.78,20.11,11.28,3.68,STANDARD,1000,TRUE
TS-B-00115,CoreEdge Competition Basketball Carry Bag X1 15,Team Sports,Basketball,CoreEdge,39.99,26.98,1.74,16.03,11.16,3.78,STANDARD,1000,TRUE
TS-B-00116,Velocity Gear Endurance Portable Basketball Hoop Max 16,Team Sports,Basketball,Velocity Gear,418.99,275.00,71.10,51.02,38.02,10.68,LARGE,100,TRUE
TS-B-00117,TitanTrail Elite Basketball Training Cone Set Pro 17,Team Sports,Basketball,TitanTrail,42.99,24.95,4.93,11.20,9.19,7.48,STANDARD,1000,TRUE
TS-B-00118,Redwood Sporting Pro Portable Basketball Hoop Max 18,Team Sports,Basketball,Redwood Sporting,243.99,139.40,129.93,49.12,37.97,10.23,LARGE,100,TRUE
TS-B-00119,TitanTrail Endurance Portable Basketball Hoop GT 19,Team Sports,Basketball,TitanTrail,324.99,173.29,86.30,56.51,38.26,10.76,LARGE,100,TRUE
TS-B-00120,BlueWave Sports Elite Basketball Carry Bag S 20,Team Sports,Basketball,BlueWave Sports,40.19,25.92,0.60,19.07,12.21,3.80,STANDARD,1000,TRUE
TS-F-00121,EverPeak Premier Composite Football GT,Team Sports,Football,EverPeak,68.99,47.93,1.03,11.62,7.70,6.62,STANDARD,1000,TRUE
TS-F-00122,StrikeZone Athletics Pro Football Shoulder Pads X2,Team Sports,Football,StrikeZone Athletics,150.74,98.40,8.96,23.69,19.29,11.29,STANDARD,1000,TRUE
TS-F-00123,BlueWave Sports Premier Composite Football Max,Team Sports,Football,BlueWave Sports,19.99,12.55,1.06,11.17,6.91,6.53,STANDARD,1000,TRUE
TS-F-00124,Northstar Outdoor Competition Composite Football X2,Team Sports,Football,Northstar Outdoor,46.99,26.82,0.95,11.22,7.63,7.38,STANDARD,1000,TRUE
TS-F-00125,Velocity Gear Elite Football Shoulder Pads XR,Team Sports,Football,Velocity Gear,200.99,121.53,8.44,21.51,15.91,10.63,STANDARD,1000,TRUE
TS-F-00126,TitanTrail Essential Composite Football Edge,Team Sports,Football,TitanTrail,25.99,18.71,0.98,12.04,6.82,6.58,STANDARD,1000,TRUE
TS-F-00127,CourtLine Trail Blocking Sled GT,Team Sports,Football,CourtLine,654.37,439.86,207.84,54.49,39.37,26.27,OVERSIZED,20,TRUE
TS-F-00128,Summit Sports Core Football Shoulder Pads Edge,Team Sports,Football,Summit Sports,200.99,109.31,6.21,23.09,18.56,13.17,STANDARD,1000,TRUE
TS-F-00129,ForgeLine Pro Composite Football X2 9,Team Sports,Football,ForgeLine,33.88,21.97,1.20,12.45,7.29,7.78,STANDARD,1000,TRUE
TS-F-00130,EverPeak Competition Composite Football NX 10,Team Sports,Football,EverPeak,40.99,22.52,0.96,10.85,7.35,7.58,STANDARD,1000,TRUE
TS-F-00131,EverPeak Competition Football Shoulder Pads Max 11,Team Sports,Football,EverPeak,152.99,96.32,3.73,20.55,17.09,10.66,STANDARD,1000,TRUE
TS-F-00132,PeakMotion Competition Composite Football GT 12,Team Sports,Football,PeakMotion,55.99,36.00,1.04,10.81,6.57,6.94,STANDARD,1000,TRUE
TS-F-00133,Redwood Sporting Essential Football Shoulder Pads Edge 13,Team Sports,Football,Redwood Sporting,289.99,143.29,8.10,20.90,19.49,10.56,STANDARD,1000,TRUE
TS-F-00134,PeakMotion Classic Football Shoulder Pads GT 14,Team Sports,Football,PeakMotion,129.99,70.29,9.41,24.12,17.58,10.78,STANDARD,1000,TRUE
TS-F-00135,Summit Sports Core Blocking Sled X2 15,Team Sports,Football,Summit Sports,526.99,328.89,145.78,56.06,40.31,31.03,OVERSIZED,20,TRUE
TS-F-00136,Vantage Sport Premier Blocking Sled X2 16,Team Sports,Football,Vantage Sport,592.99,375.73,201.71,55.63,38.40,31.31,OVERSIZED,20,TRUE
TS-F-00137,Pulse Athletics Premier Football Helmet NX 17,Team Sports,Football,Pulse Athletics,266.48,174.18,3.13,13.77,11.38,9.88,STANDARD,1000,TRUE
TS-F-00138,StrikeZone Athletics Trail Blocking Sled S 18,Team Sports,Football,StrikeZone Athletics,907.99,461.28,247.10,60.48,36.76,31.12,OVERSIZED,20,TRUE
TS-F-00139,CoreEdge Active Composite Football X2 19,Team Sports,Football,CoreEdge,28.82,16.11,0.96,11.25,6.66,6.48,STANDARD,1000,TRUE
TS-F-00140,Summit Sports Elite Football Shoulder Pads X1 20,Team Sports,Football,Summit Sports,181.99,124.95,4.85,22.06,17.33,13.35,STANDARD,1000,TRUE
TS-BS-00141,CourtLine Trail Fielding Glove X1,Team Sports,Baseball & Softball,CourtLine,113.99,63.65,1.66,11.53,11.01,6.20,STANDARD,1000,TRUE
TS-BS-00142,Northstar Outdoor Core Base Set XR,Team Sports,Baseball & Softball,Northstar Outdoor,65.99,33.21,8.53,15.32,16.78,6.31,STANDARD,1000,TRUE
TS-BS-00143,PeakMotion Trail Pitching Machine Pro,Team Sports,Baseball & Softball,PeakMotion,913.99,580.19,61.35,27.12,20.09,20.97,LARGE,100,TRUE
TS-BS-00144,Northstar Outdoor Endurance Aluminum Baseball Bat NX,Team Sports,Baseball & Softball,Northstar Outdoor,244.99,166.62,1.84,32.61,2.88,3.12,STANDARD,1000,TRUE
TS-BS-00145,RidgeRunner Precision Fielding Glove S,Team Sports,Baseball & Softball,RidgeRunner,66.99,44.82,0.94,12.86,12.02,6.55,STANDARD,1000,TRUE
TS-BS-00146,TitanTrail Trail Fielding Glove Pro,Team Sports,Baseball & Softball,TitanTrail,228.99,119.36,1.07,11.95,10.69,7.72,STANDARD,1000,TRUE
TS-BS-00147,Summit Sports Premier Batting Helmet GT,Team Sports,Baseball & Softball,Summit Sports,74.99,50.61,1.65,13.25,10.35,11.10,STANDARD,1000,TRUE
TS-BS-00148,Velocity Gear Core Pitching Machine X1,Team Sports,Baseball & Softball,Velocity Gear,1224.99,731.23,51.23,26.03,20.43,19.19,LARGE,100,TRUE
TS-BS-00149,Altitude Works Active Pitching Machine X2,Team Sports,Baseball & Softball,Altitude Works,872.99,583.05,77.01,24.69,19.68,20.93,LARGE,100,TRUE
TS-BS-00150,Redwood Sporting Classic Fielding Glove X1,Team Sports,Baseball & Softball,Redwood Sporting,127.99,69.23,1.66,13.48,10.02,6.97,STANDARD,1000,TRUE
TS-BS-00151,PeakMotion Classic Aluminum Baseball Bat Edge 11,Team Sports,Baseball & Softball,PeakMotion,128.99,86.36,1.94,34.05,2.84,2.75,STANDARD,1000,TRUE
TS-BS-00152,RidgeRunner Precision Aluminum Baseball Bat LT 12,Team Sports,Baseball & Softball,RidgeRunner,257.99,173.33,1.30,34.66,2.87,2.84,STANDARD,1000,TRUE
TS-BS-00153,TrailForge Endurance Aluminum Baseball Bat X1 13,Team Sports,Baseball & Softball,TrailForge,139.99,69.89,1.67,33.68,3.21,2.76,STANDARD,1000,TRUE
TS-BS-00154,RidgeRunner Elite Aluminum Baseball Bat Edge 14,Team Sports,Baseball & Softball,RidgeRunner,248.99,149.93,2.10,33.37,3.03,3.06,STANDARD,1000,TRUE
TS-BS-00155,Pulse Athletics Endurance Base Set X1 15,Team Sports,Baseball & Softball,Pulse Athletics,63.99,43.58,8.43,16.84,14.18,6.66,STANDARD,1000,TRUE
